SEQN,GREF_AFR,GREF_AMR,GREF_EAS,GREF_EUR,GREF_SAS,GREF_entropy,GREF_major_superpop,GREF_LABEL
31128,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31129,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31131,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31132,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31133,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31134,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31137,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31139,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31140,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31141,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31143,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31144,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31145,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31146,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31148,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31149,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31150,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31151,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31152,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31153,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31154,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31155,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31156,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31157,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31158,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31159,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31160,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31161,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31162,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31166,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31167,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31170,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31171,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31175,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31177,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31178,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31179,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31180,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31181,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31183,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31187,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31189,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31190,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31192,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31193,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31194,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31195,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31199,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31201,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31203,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31204,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31205,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31206,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31207,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31208,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31211,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31212,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31213,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31214,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31215,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31218,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31219,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31220,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31221,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31224,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31225,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31226,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31227,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31228,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31230,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31231,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31232,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31233,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31235,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31237,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31238,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31240,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31241,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31242,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31244,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31245,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31246,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31248,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31249,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31250,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31252,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31254,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31255,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31257,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31258,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31259,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31261,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31262,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31263,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31264,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31265,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31266,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31267,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31268,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31269,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31270,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31271,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31272,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31273,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31275,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31276,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31277,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31278,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31279,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
