Model_Type,Exposure,Outcome,TE_Estimate,NDE_Estimate,Mean_Abs_NIE,NIE_Significant_Count
linear,LBDLDL,BPXDI2,0.12715384632017498,0.11973306189175748,0.0036467012982141474,1
linear,LBDLDL,BPXDI3,0.07663334891405651,0.06986687355715995,0.0017881828134769019,0
linear,LBDLDL,BPXDI4,0.008666901984407175,0.008981626183749522,0.001009857184865408,0
linear,LBDLDL,BPXSY2,-0.08905034275982927,-0.07215732211665485,0.00537673279791315,0
linear,LBDLDL,BPXSY3,-0.22712148930567455,-0.22446491246553188,0.005064134070093309,0
linear,LBDLDL,BPXSY4,-0.13402110962576178,-0.1399607060678872,0.0025399014255611343,0
linear,LBDLDL,LBXCRP,0.06408229953052821,0.06472288875496593,0.0030587547960339036,0
linear,LBDLDL,LBXGH,-0.0621981918839463,-0.04355677886263951,0.004988268556282711,1
linear,LBDLDL,LBXGLU,0.08260760275995412,0.08358215448821302,0.003037568792684064,0
linear,LBDLDL,LBXIN,0.08156321570884699,0.0692475623251934,0.00321550682910677,0
linear,LBDLDL,LBXSCR,-0.4135647654699678,-0.42358566326825925,0.0022389430768457183,0
linear,LBDLDL,URXUCR,0.0681952364627966,0.06263087205859152,0.0023416586079106935,0
linear,LBDLDL,URXUMA,-0.6293238644124449,-0.6336154726190261,0.004602273654680883,0
linear,LBXAPB,BPXDI2,0.2790198020833218,0.26052920066171864,0.0026518778094269555,0
linear,LBXAPB,BPXDI3,0.3108993627625654,0.3017904999917588,0.0015739217871273482,0
linear,LBXAPB,BPXDI4,0.00030563601104834743,-3.2090737335913055e-05,0.0004032544611366889,0
linear,LBXAPB,BPXSY2,0.32359572738053394,0.33880576470278184,0.002250439069454361,0
linear,LBXAPB,BPXSY3,0.1979289140806671,0.1955257239944049,0.003075132637698702,0
linear,LBXAPB,BPXSY4,-0.06137141672742118,-0.07298130404413747,0.0024310144301979467,0
linear,LBXAPB,LBXCRP,0.9186903185398,0.9148711189686269,0.0023598998748696844,0
linear,LBXAPB,LBXGH,0.5114821579034865,0.5423427369396665,0.005651167667311109,1
linear,LBXAPB,LBXGLU,0.8200652859392763,0.8197986341654065,0.0030768009294687535,0
linear,LBXAPB,LBXIN,1.1926511947674985,1.1694034333743097,0.003485711625402219,1
linear,LBXAPB,LBXSCR,-0.3228141647094224,-0.3299800917873597,0.0018869897098020858,0
linear,LBXAPB,URXUCR,0.11742287306285408,0.12046300805222661,0.0019331553343563685,0
linear,LBXAPB,URXUMA,0.05430126401770378,0.05763300338857541,0.003479945919571566,0
linear,LBXTR,BPXDI2,0.30332634417543797,0.2809034269160019,0.00573143429873743,0
linear,LBXTR,BPXDI3,0.4310292637171246,0.4259867176908029,0.002500801433166691,0
linear,LBXTR,BPXDI4,0.003402225486896032,0.002004514433471016,0.0014713217684861441,2
linear,LBXTR,BPXSY2,0.7662069223231613,0.7678652156330122,0.007236274384415633,0
linear,LBXTR,BPXSY3,0.7987181988401135,0.7974117227794302,0.0068993510604038,0
linear,LBXTR,BPXSY4,0.043722006207149944,0.033912820247684404,0.00363476895196863,1
linear,LBXTR,LBXCRP,1.21158349183415,1.211011075718665,0.005255642586233529,0
linear,LBXTR,LBXGH,1.4826908815851088,1.5023004948229952,0.00599372746562169,0
linear,LBXTR,LBXGLU,1.9403482789895912,1.9389702682070937,0.005198466060421994,1
linear,LBXTR,LBXIN,2.5067172902858066,2.4918593484785303,0.004935673957387991,1
linear,LBXTR,LBXSCR,-0.1453258296930548,-0.1385067319049875,0.00172317348394722,0
linear,LBXTR,URXUCR,0.5635172481785398,0.5762387453547999,0.0038231478458377387,0
linear,LBXTR,URXUMA,1.2129514527253609,1.228977324381978,0.00774772918804653,1
