Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
linear,"LBXTR -> Artery_Vessel_density -> BPXSY2 | Z,G",LBXTR,Artery_Vessel_density,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7662069223231613,0.5238045009890788,0.9606361554763871,0.7678652156330122,0.5026445775864626,0.9715583610894829,0.024497813690528936,-0.007705325124409568,0.060109009976963106,False,0.7,4055,10
linear,"LBXTR -> Artery_Fractal_dimension -> BPXSY2 | Z,G",LBXTR,Artery_Fractal_dimension,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7662069223231613,0.5238045009890788,0.9606361554763871,0.7678652156330122,0.5026445775864626,0.9715583610894829,-0.012488846406327195,-0.033750695234445204,0.008432182045808565,False,0.9,4055,10
linear,"LBXTR -> Artery_Average_width -> BPXSY2 | Z,G",LBXTR,Artery_Average_width,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7662069223231613,0.5238045009890788,0.9606361554763871,0.7678652156330122,0.5026445775864626,0.9715583610894829,-0.004982354097896717,-0.01478391467224303,0.0002604517062980217,False,0.9,4055,10
linear,"LBXTR -> Artery_Tortuosity_density -> BPXSY2 | Z,G",LBXTR,Artery_Tortuosity_density,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7662069223231613,0.5238045009890788,0.9606361554763871,0.7678652156330122,0.5026445775864626,0.9715583610894829,-0.0004196939117853132,-0.007373709065678252,0.006245356524435894,False,0.4,4055,10
linear,"LBXTR -> Artery_Distance_tortuosity -> BPXSY2 | Z,G",LBXTR,Artery_Distance_tortuosity,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7662069223231613,0.5238045009890788,0.9606361554763871,0.7678652156330122,0.5026445775864626,0.9715583610894829,-0.0006332889592702142,-0.009121760722845169,0.007230675725510669,False,0.6,4055,10
linear,"LBXTR -> Vein_Tortuosity_density -> BPXSY2 | Z,G",LBXTR,Vein_Tortuosity_density,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7662069223231613,0.5238045009890788,0.9606361554763871,0.7678652156330122,0.5026445775864626,0.9715583610894829,-0.004038313744820008,-0.026184159732214208,0.0048868694871269805,False,0.8,4055,10
linear,"LBXTR -> Vein_Distance_tortuosity -> BPXSY2 | Z,G",LBXTR,Vein_Distance_tortuosity,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7662069223231613,0.5238045009890788,0.9606361554763871,0.7678652156330122,0.5026445775864626,0.9715583610894829,-0.0035936098802810436,-0.015767009982755417,0.007312004023222345,False,0.6,4055,10
linear,"LBXTR -> Artery_Vessel_density -> BPXDI2 | Z,G",LBXTR,Artery_Vessel_density,BPXDI2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.30332634417543797,0.2089903510967082,0.4560320978884611,0.2809034269160019,0.1881018020957067,0.42377619165442926,0.008899279025361646,-0.004842990302930089,0.03778347141573006,False,0.8,4055,10
linear,"LBXTR -> Artery_Fractal_dimension -> BPXDI2 | Z,G",LBXTR,Artery_Fractal_dimension,BPXDI2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.30332634417543797,0.2089903510967082,0.4560320978884611,0.2809034269160019,0.1881018020957067,0.42377619165442926,-0.008848561415863085,-0.02980316676493189,0.0023367825348837162,False,0.8,4055,10
linear,"LBXTR -> Artery_Average_width -> BPXDI2 | Z,G",LBXTR,Artery_Average_width,BPXDI2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.30332634417543797,0.2089903510967082,0.4560320978884611,0.2809034269160019,0.1881018020957067,0.42377619165442926,0.0025995638629752317,-0.002452407384764218,0.011109852581335837,False,0.7,4055,10
linear,"LBXTR -> Artery_Tortuosity_density -> BPXDI2 | Z,G",LBXTR,Artery_Tortuosity_density,BPXDI2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.30332634417543797,0.2089903510967082,0.4560320978884611,0.2809034269160019,0.1881018020957067,0.42377619165442926,0.005530565127783543,-0.001172707403486137,0.016660873347869906,False,0.8,4055,10
linear,"LBXTR -> Artery_Distance_tortuosity -> BPXDI2 | Z,G",LBXTR,Artery_Distance_tortuosity,BPXDI2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.30332634417543797,0.2089903510967082,0.4560320978884611,0.2809034269160019,0.1881018020957067,0.42377619165442926,0.003027766541470773,-0.003104806454696544,0.01618917987599954,False,0.6,4055,10
linear,"LBXTR -> Vein_Tortuosity_density -> BPXDI2 | Z,G",LBXTR,Vein_Tortuosity_density,BPXDI2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.30332634417543797,0.2089903510967082,0.4560320978884611,0.2809034269160019,0.1881018020957067,0.42377619165442926,0.009274644124115846,-0.0019247257188299992,0.03948758520889626,False,0.8,4055,10
linear,"LBXTR -> Vein_Distance_tortuosity -> BPXDI2 | Z,G",LBXTR,Vein_Distance_tortuosity,BPXDI2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.30332634417543797,0.2089903510967082,0.4560320978884611,0.2809034269160019,0.1881018020957067,0.42377619165442926,0.0019396599935918833,-0.0048746216750435185,0.010442684713978025,False,0.6,4055,10
linear,"LBXTR -> Artery_Vessel_density -> BPXSY3 | Z,G",LBXTR,Artery_Vessel_density,BPXSY3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7987181988401135,0.5242974275912011,1.0999373251964115,0.7974117227794302,0.5057733128395044,1.1099289161265218,0.018039799626247896,-0.011826717365017137,0.03831075795784625,False,0.7,4055,10
linear,"LBXTR -> Artery_Fractal_dimension -> BPXSY3 | Z,G",LBXTR,Artery_Fractal_dimension,BPXSY3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7987181988401135,0.5242974275912011,1.0999373251964115,0.7974117227794302,0.5057733128395044,1.1099289161265218,-0.010431796497893994,-0.0306250140166256,0.012686614221562333,False,0.9,4055,10
linear,"LBXTR -> Artery_Average_width -> BPXSY3 | Z,G",LBXTR,Artery_Average_width,BPXSY3,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,0.7987181988401135,0.5242974275912011,1.0999373251964115,0.7974117227794302,0.5057733128395044,1.1099289161265218,-0.0027282363032283415,-0.009205562040541009,0.00079508661007583,False,0.7,4055,10
